student_id,cgpa,internships,projects,certifications,coding_score,aptitude_score,communication_score,logical_reasoning_score,github_repos,mock_interview_score,attendance_percentage,backlogs,placement_status,salary_package_lpa,company,article_url
1,8.75,3,5,7,60,69,72,86,18,89,76.64,0,Placed,36.16,American Express,https://www.geeksforgeeks.org/interview-experiences/american-express-interview-experience-for-graduate-engineer-trainee/
2,6.77,0,6,2,83,55,72,93,5,75,93.48,0,Not Placed,0.0,IBM,https://www.geeksforgeeks.org/interview-experiences/ibm-interview-experience-software-engineer-full-time-on-campus-2024/
3,6.22,3,1,0,48,78,65,75,1,88,85.12,0,Not Placed,0.0,Artee Flow Controls,https://www.geeksforgeeks.org/interview-experiences/artee-flow-controls-interview-experience-on-campus/
4,8.43,0,1,0,65,83,63,79,7,53,76.54,1,Placed,37.05,Unknown,https://www.geeksforgeeks.org/interview-experiences/aqeeq-technologies-internship-interview-experience-on-campus/
5,7.15,1,2,4,46,46,73,81,6,96,74.9,1,Placed,23.44,SAP Labs,https://www.geeksforgeeks.org/interview-experiences/sap-labs-interview-experience-summer-internship-for-third-year-students/
6,6.77,1,4,5,93,98,52,63,2,100,88.08,1,Not Placed,0.0,United Airlines,https://www.geeksforgeeks.org/interview-experiences/united-airlines-interview-experience-for-software-developer-on-campus-2023/
7,7.26,2,5,8,41,77,92,94,15,70,85.2,0,Not Placed,0.0,Consultadd Services,https://www.geeksforgeeks.org/interview-experiences/consultadd-services-interview-experience-associate-software-engineer/
8,9.56,3,2,2,99,100,69,79,12,98,71.78,2,Placed,12.51,Herald Logic,https://www.geeksforgeeks.org/interview-experiences/herald-logic-interview-experience-on-campus-batch-2025/
9,7.6,4,4,7,43,70,95,41,11,77,83.54,2,Not Placed,0.0,Coforge,https://www.geeksforgeeks.org/interview-experiences/coforge-interview-experience-on-campus-software-developer-role-2024/
10,7.73,2,5,0,69,68,94,79,18,90,66.31,0,Not Placed,0.0,AMI (American Megatrends International),https://www.geeksforgeeks.org/interview-experiences/ami-american-megatrends-international-interview-experience-for-system-software-on-campus/
11,8.37,0,5,1,45,85,62,44,8,63,83.41,0,Not Placed,0.0,Zomato,https://www.geeksforgeeks.org/interview-experiences/zomato-interview-experience-sde/
12,9.69,0,3,8,57,53,94,56,0,68,96.14,2,Placed,5.84,Zomato x Blinkit,https://www.geeksforgeeks.org/interview-experiences/zomato-x-blinkit-interview-experience-for-sde-i-on-campus-2024/
13,7.28,4,6,6,89,89,90,58,3,52,84.92,0,Placed,44.71,ZS Associates,https://www.geeksforgeeks.org/interview-experiences/zs-associates-interview-experience-btsa-on-campus-2024/
14,8.11,3,4,7,71,55,42,66,2,41,87.35,2,Not Placed,0.0,ACI Worldwide,https://www.geeksforgeeks.org/interview-experiences/aci-worldwide-interview-experience-associate-software-engineer-full-time-on-campus/
15,9.12,2,5,3,72,43,79,71,7,53,70.29,1,Placed,10.05,Sap Labs,https://www.geeksforgeeks.org/interview-experiences/sap-labs-interview-experience-for-associate-developer-intern-on-campus/
16,7.09,1,4,6,61,73,46,44,18,50,87.55,1,Placed,14.8,Hexaware,https://www.geeksforgeeks.org/interview-experiences/hexaware-interview-experience-for-pget-on-campus-2024-2/
17,8.31,2,6,3,58,69,64,59,7,64,70.59,1,Not Placed,0.0,Bajaj Finserv Health ltd.,https://www.geeksforgeeks.org/interview-experiences/bajaj-finserv-health-ltd-interview-experience-for-full-stack-developer-on-campus/
18,9.41,4,6,0,79,72,85,44,17,56,67.05,2,Placed,21.98,Smart Cube,https://www.geeksforgeeks.org/interview-experiences/smart-cube-interview-experience-for-data-analyst-on-campus/
19,6.34,1,6,3,88,94,71,93,6,67,66.78,0,Not Placed,0.0,TCS Prime,https://www.geeksforgeeks.org/interview-experiences/tcs-prime-interview-experience-2024-campus-placement/
20,7.37,3,4,4,52,93,92,48,17,83,78.33,0,Placed,41.86,Sprinklr,https://www.geeksforgeeks.org/interview-experiences/sprinklr-interview-experience-for-sde-fte-on-campus/
21,6.21,1,4,5,70,78,46,66,20,78,95.42,0,Placed,32.45,Okta,https://www.geeksforgeeks.org/interview-experiences/okta-interview-experience-for-sde-full-time-on-campus-2024/
22,8.17,0,1,2,64,41,58,76,15,81,74.61,1,Not Placed,0.0,ZOHO,https://www.geeksforgeeks.org/interview-experiences/zoho-interview-experience-on-campus-1/
23,7.36,2,4,1,60,93,51,60,3,89,65.07,0,Placed,12.7,London Stock Exchange Group (LSEG),https://www.geeksforgeeks.org/interview-experiences/london-stock-exchange-group-lseg-interview-experience-full-time/
24,6.35,1,5,7,87,70,86,75,8,92,93.8,1,Not Placed,0.0,FICO,https://www.geeksforgeeks.org/interview-experiences/fico-interview-experience-for-software-engineer-developer-on-campus/
25,8.27,2,6,4,97,59,64,42,20,44,85.5,0,Placed,34.83,Bain & Company (BCN),https://www.geeksforgeeks.org/interview-experiences/bain-company-bcn-interview-experience-on-campus-2024/
26,7.27,3,3,3,42,63,54,52,14,56,89.96,0,Not Placed,0.0,Informatica,https://www.geeksforgeeks.org/interview-experiences/informatica-interview-experience-apprenticeship-on-campus-2024/
