student_id,discussion_title,views,company,leetcode_solved,contest_rating,internships,projects,cgpa,communication_score,cs_fundamentals_score,placement_status,salary_package_lpa
1,Google Online Assessment Questions,866357,Google,2025,1942,0,6,7.2,65,68,Not Placed,0.0
2,How to write an Interview Question post,181291,Unknown,1369,1782,3,4,9.14,77,44,Not Placed,0.0
3,Need help with embedded domain design interview,24,Unknown,2169,1257,4,2,8.25,72,81,Not Placed,0.0
4,Increased number of HARD problems in last 30 days list?,83,Unknown,1173,2282,3,2,6.46,89,74,Not Placed,0.0
5,Seeing multiple interviewers for On Site Round?,70,Unknown,596,1863,1,6,9.43,42,49,Not Placed,0.0
6,Amazon SDE interview | what should I do,19,Amazon,2379,2359,4,5,6.75,100,48,Not Placed,0.0
7,TDP assesment,18,Unknown,1242,1205,4,6,6.23,84,74,Not Placed,0.0
8,Upcoming Meta Interview,139,Meta,925,1613,0,2,7.01,98,88,Not Placed,0.0
9,Microsoft | L61 Interview | Viva Team,29,Microsoft,610,1664,1,6,8.87,82,95,Not Placed,0.0
10,Meta Onsite E4 suggestions,213,Meta,1247,2075,4,1,8.21,60,87,Not Placed,0.0
11,Meta E4 Behavioral Redo,179,Meta,648,1541,3,2,7.14,51,82,Not Placed,0.0
12,Interview Question,25,Unknown,1764,2428,1,2,8.77,81,72,Not Placed,0.0
13,Meesho OA 2025,30,Unknown,640,2440,0,6,9.48,67,54,Not Placed,0.0
14,Issue with ChatGPT Providing Incorrect Answer for a Coding Problem,28,Unknown,1333,2592,3,1,6.08,81,59,Not Placed,0.0
15,Need Suggestion,20,Unknown,874,2484,3,5,6.53,67,100,Not Placed,0.0
16,AI engineer - 2k25,25,Unknown,572,2446,3,3,8.08,97,78,Not Placed,0.0
17,Meta E6 Phone Screen,307,Meta,657,2159,4,1,8.01,67,92,Not Placed,0.0
18,Follow up infra design round,182,Unknown,746,1550,4,2,8.45,97,55,Not Placed,0.0
19,My Story || Need Your Help,24,Unknown,1480,2565,2,3,7.9,67,97,Not Placed,0.0
20,Amazon SDE 1 Onsite,22,Amazon,2012,1213,4,5,9.66,44,69,Not Placed,0.0
21,Why Recursion needed ?,35,Unknown,1799,1897,1,5,6.9,93,91,Not Placed,0.0
22,Need suggestions on AWS SDE 2 System Design (HLD) Questions,89,Unknown,223,1688,0,6,6.91,64,43,Not Placed,0.0
23,earnin MLE phone,0,Unknown,463,1715,4,2,9.42,40,75,Not Placed,0.0
24,Meta E4 Interview Experience,302,Meta,1479,2551,2,5,6.95,92,99,Not Placed,0.0
25,Meta Phone Screen,22,Meta,868,1630,4,2,7.57,70,59,Not Placed,0.0
26,Amazon | SDE1 | New Grad 2025 | UK | Phone Screen,88,Amazon,302,1867,4,6,7.16,100,45,Not Placed,0.0
27,Doubt: Palindrome Number,35,Unknown,2011,1837,1,6,9.55,86,72,Not Placed,0.0
28,Want to change team in Salesforce Industries Cloud,28,Unknown,676,1693,1,1,6.82,71,94,Not Placed,0.0
29,Apple Sr Software Engineer (Cupertino) Interview Experience,154,Apple,424,1290,4,5,9.7,64,40,Not Placed,0.0
30,Need Help || Booking Holdings Offer,67,Unknown,1005,1439,0,1,8.85,92,58,Placed,33.88
31,L3 interview experience,368,Unknown,1655,1930,0,5,6.27,61,44,Not Placed,0.0
32,Mock interview for preparation,155,Unknown,1833,2512,0,1,6.89,91,59,Not Placed,0.0
33,Microsoft | L60 ActionCentre Status Completed but No response since 1-2 weeks,150,Microsoft,1316,2366,0,3,9.57,68,84,Not Placed,0.0
34,Confused Among two offers,181,Unknown,2224,1480,2,6,7.42,67,88,Placed,18.23
35,Meta Screening,20,Meta,302,1732,3,4,8.79,57,75,Not Placed,0.0
36,Hubspot Virtual Round US | BE SWE 2,72,Unknown,344,2533,0,4,9.52,89,97,Not Placed,0.0
37,Meta Phone Screen Strategy - SWE Product,407,Meta,113,2282,4,6,7.6,78,54,Not Placed,0.0
38,Google Interview Feedback,16,Google,463,1578,0,6,7.58,55,50,Not Placed,0.0
39,Google Interview experience,151,Google,1691,1677,4,1,6.3,72,76,Not Placed,0.0
40,Insertion Sort || JAVA || Explained,34,Unknown,2442,1315,4,3,9.25,56,97,Not Placed,0.0
41,onsite,24,Unknown,1355,1891,3,1,9.57,86,75,Not Placed,0.0
42,I solved less than 300 LeetCode questions but still made it to Google,3711,Google,1109,2061,2,4,8.65,88,87,Not Placed,0.0
43,Apple tech screen experience,19,Apple,1273,1429,4,5,8.18,40,77,Not Placed,0.0
44,Meta Phone Screen,21,Meta,2229,2534,0,6,6.97,94,89,Not Placed,0.0
45,Google Feeback,17,Google,454,2000,1,5,8.03,91,98,Not Placed,0.0
46,TypeScript/JavaScript Heap Runtime error,34,Unknown,1308,2492,4,6,6.44,83,46,Not Placed,0.0
47,Adobe Take home Assessment for SDE 30,20,Adobe,650,1889,0,4,7.35,90,47,Not Placed,0.0
48,Meta asked DP in Screening[Failed],18,Meta,2380,1928,1,2,8.78,99,49,Not Placed,0.0
49,Meta E4 Phone Screen,308,Meta,1587,1506,1,4,8.28,92,61,Not Placed,0.0
50,Cerebras Interview,21,Unknown,442,1689,0,6,8.97,56,79,Not Placed,0.0
51,Different time contests.,37,Unknown,450,1790,1,2,6.81,100,52,Not Placed,0.0
52,My Interview Experience with Chargebee Bangalore,17,Unknown,517,1538,0,2,9.78,44,87,Not Placed,0.0
53,Meta | follow up | coding round,443,Meta,1117,1920,2,2,8.38,66,76,Not Placed,0.0
54,distributeCandies,46,Unknown,2216,2118,3,2,9.05,85,83,Not Placed,0.0
55,1000 days Badge!!,314,Unknown,859,2419,0,5,8.12,81,76,Not Placed,0.0
56,Meta E4 Phone Screen,640,Meta,517,1749,0,4,8.82,69,93,Not Placed,0.0
